Hand:,RIGHT
,"r2c1-5-6-5,r1c1-5-7-5,r1c2-5-8-5,r2c2-5-8-4,r2c3-5-8-3,r2c4-5-8-2"
ID,Timestamp,isSubmitting,isCheckingCube,CubesInShape,CurrentDragging,CurrentPlacing
,49.21336,0,0,1,,
,49.21418,0,0,1,,
,49.21499,0,0,1,,
,49.2158,0,0,1,,
,49.21659,0,0,1,,
,49.2174,0,0,1,,
,49.21822,0,0,1,,
,49.21903,0,0,1,,
,49.22004,0,0,1,,
,49.22107,0,0,1,,
,49.22189,0,0,1,,
,49.2227,0,0,1,,
,49.22353,0,0,1,,
,49.22439,0,0,1,,
,49.2252,0,0,1,,
,49.22602,0,0,1,,
,49.22683,0,0,1,,
,49.22771,0,0,1,,
,49.22861,0,0,1,,
,49.22962,0,0,1,,
,49.23075,0,0,1,,
,49.23156,0,0,1,,
,49.23237,0,0,1,,
,49.2332,0,0,1,,
,49.23402,0,0,1,,
,49.23483,0,0,1,,
,49.23586,0,0,1,,
,49.23667,0,0,1,,
,49.23783,0,0,1,,
,49.23883,0,0,1,,
,49.23974,0,0,1,,
,49.24061,0,0,1,,
,49.24163,0,0,1,,
,49.24245,0,0,1,,
,49.24326,0,0,1,,
,49.24406,0,0,1,,
,49.24488,0,0,1,,
,49.24574,0,0,1,,
,49.24655,0,0,1,,
,49.24737,0,0,1,,
,49.24819,0,0,1,,
,49.249,0,0,1,,
,49.24981,0,0,1,,
,49.25065,0,0,1,,
,49.25152,0,0,1,,
,49.25238,0,0,1,,
,49.25322,0,0,1,,
,49.25406,0,0,1,,
,49.25488,0,0,1,,
,49.2557,0,0,1,,
,49.25651,0,0,1,,
,49.25732,0,0,1,,
,49.25814,0,0,1,,
,49.25896,0,0,1,,
,49.25978,0,0,1,,
,49.26058,0,0,1,,
,49.26164,0,0,1,,
,49.26271,0,0,1,,
,49.26354,0,0,1,,
,49.2646,0,0,1,,
,49.26542,0,0,1,,
,49.26624,0,0,1,,
,49.26706,0,0,1,,
,49.26788,0,0,1,,
,49.2687,0,0,1,,
,49.26955,0,0,1,,
,49.27039,0,0,1,,
,49.27122,0,0,1,,
,49.27204,0,0,1,,
,49.27285,0,0,1,,
,49.27368,0,0,1,,
,49.27451,0,0,1,,
,49.27538,0,0,1,,
,49.2766,0,0,1,,
,49.27743,0,0,1,,
,49.27826,0,0,1,,
,49.27908,0,0,1,,
,49.2799,0,0,1,,
,49.28071,0,0,1,,
,49.28175,0,0,1,,
,49.28256,0,0,1,,
,49.28337,0,0,1,,
,49.28419,0,0,1,,
,49.28505,0,0,1,,
,49.28587,0,0,1,,
,49.28667,0,0,1,,
